PiD,Lat_Y,Long_X,label,cluster
1,64.1872,5.0,Core,1
2,5.0,5.0,Border,2
3,31.5404,5.0,Noise,-1
4,88.0964,5.0,Noise,-1
5,81.6867,5.0,Noise,-1
6,57.2103,5.0,Border,1
7,55.0041,5.0,Border,1
8,76.4457,5.0,Border,1
9,63.3894,5.0,Core,1
10,63.9617,5.0,Core,1
11,70.5115,5.0,Core,1
12,32.0854,5.0,Noise,-1
13,41.2466,5.0,Noise,-1
14,9.713,5.0,Core,2
15,45.1563,5.0,Noise,-1
16,25.6064,5.0,Noise,-1
17,5.2611,5.0,Border,2
18,61.283,5.0,Core,1
19,71.8637,5.4475,Border,1
20,19.9838,5.476,Noise,-1
21,38.8481,5.5784,Noise,-1
22,19.2665,5.8837,Noise,-1
23,81.9231,5.9312,Noise,-1
24,11.1254,6.0294,Border,2
25,31.8257,6.2724,Noise,-1
26,57.4724,6.2776,Core,1
27,14.2211,6.367,Border,2
28,25.0978,7.6019,Noise,-1
29,66.9955,7.7682,Core,1
30,72.5661,7.9106,Core,1
31,45.068,8.1247,Noise,-1
32,67.7466,8.8738,Core,1
33,20.8015,9.0814,Noise,-1
34,49.933,9.6059,Noise,-1
35,57.729889224550824,10.28167489181904,Core,1
36,66.11712370075078,10.32630856700179,Core,1
37,5.0,10.64,Noise,-1
38,58.2215,10.6563,Core,1
39,28.8019,10.7246,Noise,-1
40,75.572,10.7455,Border,1
41,59.5052,10.7657,Core,1
42,63.523003050382016,10.77470961172975,Core,1
43,56.7584227507531,10.81909619295626,Core,1
44,62.812017054348196,10.989543864757097,Core,1
45,62.75655074047146,11.044568978982008,Core,1
46,65.33750725930321,11.416501344716858,Core,1
47,56.80930207666355,11.465695906140372,Core,1
48,95.0,11.5217,Border,3
49,43.8566,11.6587,Noise,-1
50,71.045,11.7033,Core,1
51,57.0396,11.7607,Core,1
52,57.70158424614527,11.825817716910638,Core,1
53,56.85227398778196,11.881862729301714,Core,1
54,64.67984678863768,11.912098898716303,Core,1
55,57.027445787470874,11.977441526247375,Core,1
56,57.27874526296794,12.010870986766095,Core,1
