PID,Lat_Y,Long_X,label,cluster
1,0.2593,4.3599,Noise,-1
2,4.3532,5.4966,Core,2
3,3.3033,4.2037,Border,2
4,6.1927,2.0465,Border,1
5,2.6683,2.9965,Noise,-1
6,5.2914,6.2113,Core,2
7,5.1358,1.3458,Border,1
8,7.8534,1.8444,Core,1
9,4.9424,8.5398,Border,1
10,0.7965,8.4656,Border,2
11,0.6529,5.0525,Noise,-1
12,0.9653,4.2812,Noise,-1
13,5.9675,1.2716,Core,1
14,1.0695,2.2601,Noise,-1
15,3.4983,2.2031,Noise,-1
16,2.0174,4.6779,Noise,-1
17,4.8307,6.4041,Core,2
18,3.8689,5.0524,Core,2
19,5.8,7.9364,Border,1
20,7.0075,1.623,Core,1
21,5.0001,9.6455,Core,1
22,3.4161,8.8952,Core,2
23,4.2755,5.6714,Core,2
24,7.7656,4.3675,Border,1
25,9.5374,5.356,Core,1
26,0.8209,5.4421,Noise,-1
27,8.5085,3.6634,Core,1
28,0.272,4.0628,Noise,-1
29,0.6714,2.4718,Noise,-1
30,9.7058,9.9385,Noise,-1
31,6.0182,8.0026,Border,1
32,1.6923,7.6496,Core,2
33,5.2407,2.9302,Border,2
34,0.4568,3.5662,Noise,-1
35,4.4135,9.8315,Border,1
36,3.2354,5.04,Border,2
37,3.8689,2.5974,Noise,-1
38,7.3675,8.3202,Core,1
39,0.1302,3.7921,Noise,-1
40,2.6939,7.974,Core,2
41,0.2555,5.8268,Noise,-1
42,3.8752,6.622,Core,2
43,4.1491,4.9707,Core,2
44,5.5098,3.5087,Border,2
45,1.1278,9.7291,Border,2
46,0.418,3.1326,Noise,-1
47,6.5751,7.384,Border,1
48,4.1675,2.1464,Noise,-1
49,6.6148,6.4384,Border,2
50,8.8165,1.7048,Core,1
51,1.3395,7.7801,Border,2
52,7.4878,8.6892,Core,1
53,5.4335,7.9859,Border,1
54,9.1846,2.2084,Core,1
55,3.4624,5.9208,Core,2
56,9.1392,2.6378,Core,1
57,5.4019,4.1974,Core,2
58,8.2625,6.0844,Border,1
59,1.7671,6.2356,Border,2
60,4.8927,5.9126,Core,2
61,6.9952,5.4791,Core,2
62,1.8663,2.4581,Noise,-1
63,2.7406,1.1058,Noise,-1
64,6.2936,0.1025,Core,1
65,1.8729,2.9517,Noise,-1
66,2.8376,0.9529,Noise,-1
67,2.856,2.1492,Noise,-1
68,5.495,4.7141,Core,2
69,9.8851,8.4511,Border,1
70,2.3212,0.4887,Noise,-1
71,1.6147,6.4331,Border,2
72,2.174,8.7015,Core,2
73,6.5302,7.4176,Border,1
74,0.3125,7.9889,Border,2
75,7.0463,2.2957,Border,1
76,0.3059,0.8756,Noise,-1
77,5.8978,3.5713,Border,2
78,0.6566,0.5222,Noise,-1
79,3.9515,0.435,Noise,-1
80,1.9803,6.6843,Border,2
81,4.3239,8.7627,Border,1
82,2.9043,6.1964,Core,2
83,9.5366,6.1525,Core,1
84,2.0705,4.4801,Noise,-1
85,4.4457,4.2537,Border,2
86,5.2573,5.0762,Core,2
87,1.6442,0.4243,Noise,-1
88,7.0797,4.5023,Core,2
89,7.771,7.7759,Core,1
90,9.5675,5.0278,Core,1
91,4.8146,3.3187,Border,2
92,8.5784,7.4837,Core,1
93,8.4868,4.1446,Border,1
94,7.1575,4.4457,Core,2
95,0.252,0.0845,Noise,-1
96,1.0214,9.4045,Border,2
97,2.8326,6.6197,Core,2
98,3.8833,2.0084,Noise,-1
99,5.7027,9.259,Core,1
100,7.0226,9.1671,Core,1
101,7.6272,9.1085,Core,1
102,3.1849,13.08,Core,2
103,6.3746,4.9395,Core,2
104,4.73,-0.0867,Border,1
105,4.1744,13.8322,Core,2
106,4.8168,14.3861,Core,2
107,5.998,9.8867,Core,1
108,2.5487,9.4411,Core,2
109,6.8372,9.523,Core,1
110,2.3647,10.5448,Core,2
111,9.2458,3.1879,Core,1
112,3.833,6.2866,Core,2
113,4.4094,14.09,Core,2
114,2.8827,11.0079,Core,2
115,8.1365,0.8816,Core,1
116,6.0543,9.8981,Core,1
117,9.4107,7.6639,Core,1
118,3.4814,6.8121,Core,2
119,9.4755,6.7936,Core,1
120,9.0028,1.1902,Core,1
121,5.0624,14.5775,Core,2
122,2.604,9.3016,Core,2
123,9.9767,5.9419,Core,1
124,3.0623,11.455,Core,2
125,10.0465,3.559,Core,1
126,4.5281,6.2223,Core,2
127,4.5161,14.2048,Core,2
128,5.25,14.4392,Core,2
129,4.5127,5.8972,Core,2
130,9.5704,5.7281,Core,1
131,7.5768,9.4373,Core,1
132,9.3485,3.9141,Core,1
133,2.6418,9.947,Core,2
134,5.9363,5.2298,Core,2
135,8.3317,8.8229,Core,1
136,6.0351,14.5944,Core,2
137,3.7839,7.1387,Core,2
138,5.5235,9.8394,Core,1
139,7.5828,0.7527,Core,1
140,6.7396,4.8532,Core,2
141,2.9188,7.748,Core,2
142,9.3036,2.7447,Core,1
143,8.584,8.2916,Core,1
144,5.3679,5.4949,Core,2
145,3.3069,12.7486,Core,2
146,9.7299,3.0919,Core,1
147,6.0195,10.0362,Core,1
148,8.3091,1.3993,Core,1
149,4.5285,5.8042,Core,2
150,2.6834,9.2526,Core,2
151,8.9815,1.5807,Core,1
152,4.0252,6.5879,Core,2
153,5.1957,14.8107,Core,2
154,5.2924,0.3828,Border,1
155,2.4993,10.1647,Core,2
156,8.3176,8.7374,Core,1
157,8.76,7.7788,Core,1
158,2.6519,11.2886,Core,2
159,9.7248,6.2937,Core,1
160,9.9504,3.9649,Core,1
161,3.5048,6.8515,Core,2
162,5.7467,-0.0606,Core,1
163,4.4614,13.9667,Core,2
164,7.6897,9.3206,Core,1
165,2.6368,10.5107,Core,2
166,6.1665,-0.2563,Core,1
167,10.0497,4.2229,Core,1
168,3.0668,12.2782,Core,2
169,9.9106,5.0734,Core,1
170,7.2279,0.3375,Core,1
171,2.692,8.3145,Core,2
172,6.9082,0.0747,Core,1
173,2.7134,7.4672,Core,2
174,7.5662,4.4725,Border,1
175,2.8023,9.089,Core,2
176,6.8207,0.2571,Core,1
177,5.9622,5.2525,Core,2
178,7.0694,9.6089,Core,1
179,8.8869,8.0825,Core,1
180,3.0475,8.652,Core,2
181,5.6254,14.8468,Core,2
182,9.8979,5.0287,Core,1
183,2.5692,8.1958,Core,2
184,7.1573,15.0175,Border,2
185,6.2103,5.1247,Core,2
186,10.031,3.1783,Core,1
187,5.2305,9.8146,Core,1
188,9.8073,3.3462,Core,1
189,2.9994,7.9826,Core,2
190,7.011,14.9588,Border,2
191,9.7251,6.5298,Core,1
192,6.7146,9.9285,Core,1
193,6.3933,14.9413,Core,2
194,8.7914,1.6225,Core,1
195,6.8654,15.0255,Border,2
196,4.4222,13.918,Core,2
197,3.8987,13.6684,Core,2
198,3.7485,6.9473,Core,2
199,6.1627,-0.0821,Core,1
200,5.4387,5.3282,Core,2
201,2.2126,11.4702,Core,2
202,6.4844,14.865,Core,2
203,10.3174,5.1133,Core,1
204,4.9044,10.1234,Border,1
205,6.3841,0.4101,Core,1
206,6.3532,5.3727,Core,2
207,5.5425,0.0557,Core,1
208,9.7417,2.6602,Core,1
209,3.2499,12.7133,Core,2
210,9.5498,6.1998,Core,1
211,9.0273,2.0807,Core,1
212,10.0928,5.1658,Core,1
213,10.2789,4.9699,Core,1
214,7.0257,0.6841,Core,1
215,6.9087,9.6215,Core,1
216,2.5599,12.0869,Core,2
217,8.316,8.1702,Core,1
218,5.6465,14.6922,Core,2
219,3.0092,7.8753,Core,2
220,7.6328,8.778,Core,1
221,7.6224,9.3735,Core,1
222,7.9094,1.3721,Core,1
223,6.7192,4.8848,Core,2
224,9.979,4.8013,Core,1
225,7.1878,4.7475,Core,2
